adl_id,Description,Fips_County,Date,population_2010,latitude,longitude,Land_Area,Water_Area,Total_Area,Y_bomb_threat,Y_cyberbullying,Y_harassment,Y_literature_dump,Y_not_specified,Y_performance,Y_vandalism,conspiracy,general_antisemitism,holocaust_denial,israel,money,nazi,oppression_connection,in_school,not_specified,outside_school,publication,school_event,school_trip,social_media,Perpetrator-crowd,Perpetrator-not_specified,Perpetrator-outsider,Perpetrator-parent,Perpetrator-school_personnel,Perpetrator-student,Perpetrator-students,Perpetrator-teacher,not specified,outsider,parent,school,school personnel,student,teacher
1024,school presentation defaced with swastika drawings.,34027,1.4931506849315068,"492,276",40.858581,-74.547427,460.177,21.448,481.625,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2038,"school's grounds vandalized with swastikas, 666 imagery and profanities.",42011,1.4931506849315068,"411,442",40.413957,-75.92685999999999,856.506,9.249,865.755,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1190,students used anti-semitic epithets to criticize individuals' appearances.,12086,1.4082191780821918,"2,496,435",25.610494,-80.499045,"1,897.72",533.467,"2,431.18",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1944,"jewish students faced ongoing taunting and anti-semitic ""jokes"" from peers.",12099,1.4082191780821918,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2625,jewish student harassed on social media.,12099,1.4082191780821918,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
44,"six middle school students performed ""heil hitler"" salute and called a boy ""hitler,"" in addition to swastikas found etched in school bathroom.",13121,1.4082191780821918,"920,581",33.790034000000006,-84.468182,526.635,7.69,534.325,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1755,"swastika drawn in the snow; ""burn the jews"" written in school bathroom.",25017,1.4082191780821918,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2336,bomb threat called into jewish school.,29189,1.4082191780821918,"998,954",38.640702000000005,-90.445954,507.8,15.218,523.018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1705,jewish students faced anti-semitic harassment in school.,34023,1.4082191780821918,"809,858",40.439593,-74.407585,308.914,13.913,322.827,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1781,middle school student victim of anti-semitic harassment by classmates.,39151,1.4082191780821918,"375,586",40.814131,-81.365667,575.271,5.262,580.533,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2700,jewish school received a threatening phone call.,42091,1.4082191780821918,"799,874",40.209998999999996,-75.370201,483.04,4.155,487.195,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
425,students received an email that denied the events of the holocaust.,50007,1.4082191780821918,"156,545",44.460676,-73.070525,536.578,82.721,619.299,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1501,student was target of anti-semitic bullying,4021,1.3287671232876712,"375,770",32.91891,-111.36725700000001,"5,365.61",8.622,"5,374.23",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
696,jewish girl at middle school victim of anti-semitic bullying by peers.,6013,1.3287671232876712,"1,049,025",37.919478999999995,-121.95154299999999,715.937,87.833,803.77,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1202,class course website about insects displayed anti-semitic cartoons comparing jews to cockroaches.,12097,1.3287671232876712,"268,685",28.059027,-81.139312,"1,327.45",178.453,"1,505.91",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1178,"middle school students told another student, ""all jews should have died"" and ""hitler was right.""",12099,1.3287671232876712,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1423,students made offensive holocaust jokes and promoted anti-semitic conspiracy theories.,12099,1.3287671232876712,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1162,middle school student victim of ongoing anti-semitic harassment.,13121,1.3287671232876712,"920,581",33.790034000000006,-84.468182,526.635,7.69,534.325,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
79,swastika and racist graffiti found at middle school.,25017,1.3287671232876712,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
924,"middle school students made anti-semitic remarks, blamed jews and israel for 9/11 terrorist attacks.",25017,1.3287671232876712,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1507,boy was victim of anti-semitic bullying in school.,25017,1.3287671232876712,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1756,"""burn the jews"" written in school bathroom.",25017,1.3287671232876712,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1762,swastika and message promoting anti-semitism found in girl's bathroom of high school.,25017,1.3287671232876712,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
468,student spectators at high school basketball game yelled anti-semitic taunts at opposing team's fans.,25025,1.3287671232876712,"722,023",42.331959999999995,-71.020173,58.154,62.065,120.219,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1272,"jewish student told to ""burn in the ovens with the other jews.""",26099,1.3287671232876712,"840,978",42.671467,-82.91086899999999,479.223,91.627,570.85,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
976,swastika graffiti discovered in high school bathroom.,34015,1.3287671232876712,"288,288",39.721019,-75.14370799999999,322.005,15.172,337.177,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1805,swastika etched into front driver-side window of car parked in front of high school.,36047,1.3287671232876712,"2,504,700",40.635133,-73.950777,70.816,26.102,96.918,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2037,"students reported hearing the word ""jew"" used pejoratively.",42011,1.3287671232876712,"411,442",40.413957,-75.92685999999999,856.506,9.249,865.755,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2386,"jewish students repeatedly targeted with anti-semitic comments, slurs, phone calls and the nazi salute. swastika drawn in front of elementary school.",45015,1.3287671232876712,"177,843",33.2077,-79.953655,"1,098.86",130.38,"1,229.24",0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1085,"teacher yelled ""heil, hitler"" at jewish student.",48201,1.3287671232876712,"4,092,459",29.857273,-95.39303699999999,"1,703.48",74.005,"1,777.48",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1223,"jewish high school student told by his peers ""you should have burned like all the rest of the jews.""",6013,1.2438356164383562,"1,049,025",37.919478999999995,-121.95154299999999,715.937,87.833,803.77,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1795,swastika and other graffiti found on school wall.,6037,1.2438356164383562,"9,818,605",34.196397999999995,-118.26186200000001,"4,057.88",693.058,"4,750.94",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1659,high school students made anti-semitic remarks and threatened violence in online group chat during school elections.,6085,1.2438356164383562,"1,781,642",37.220777000000005,-121.69062199999999,"1,290.10",13.967,"1,304.07",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
92,jewish student at public high school was victim of anti-semitic harassment and bullying.,8059,1.2438356164383562,"534,543",39.586459999999995,-105.24560100000001,764.208,9.825,774.033,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2644,high school student experienced ongoing anti-semitic harassment on social media.,12011,1.2438356164383562,"1,748,066",26.19352,-80.476658,"1,209.79",113.077,"1,322.86",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1149,"""free palestine, free gaza"" keyed into jewish student's car at high school.",12031,1.2438356164383562,"864,263",30.335245,-81.648113,762.192,156.26,918.452,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
319,jewish students at a middle school experienced anti-semitic harassment and bullying.,12081,1.2438356164383562,"322,833",27.481385999999997,-82.36578399999999,742.931,149.748,892.679,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
680,jewish student threatened and taunted by his peers and teachers for being jewish.,12086,1.2438356164383562,"2,496,435",25.610494,-80.499045,"1,897.72",533.467,"2,431.18",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
266,"middle school student heard multiple anti-semitic ""jokes"" during lunch.",12099,1.2438356164383562,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1879,"public school student called a ""jew"" in a derogatory fashion.",12099,1.2438356164383562,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
439,high school students posted anti-semitic content.,13131,1.2438356164383562,"25,011",30.875863,-84.244772,454.527,5.737,460.264,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1497,swastika carved into school bleachers.,25009,1.2438356164383562,"743,159",42.642711,-70.865107,492.563,335.911,828.474,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1765,swastika graffiti discovered in high school bathroom.,25017,1.2438356164383562,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1764,swastika found drawn in dust of stairwell at middle school.,25017,1.2438356164383562,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1774,"middle school student called teacher a ""kike.""",25027,1.2438356164383562,"798,552",42.311693,-71.940282,"1,510.77",68.424,"1,579.19",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2687,jewish student experienced anti-semitic harassment at school.,26125,1.2438356164383562,"1,202,362",42.660452,-83.38421,867.663,39.631,907.294,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2337,white supremacist left anti-semitic comments on social media in wake of post referencing hateful flyers found on school campus.,29189,1.2438356164383562,"998,954",38.640702000000005,-90.445954,507.8,15.218,523.018,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1450,jewish students faced anti-semitic harassment in school.,33011,1.2438356164383562,"400,721",42.911643,-71.723101,876.139,16.076,892.215,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
225,high school student faced ongoing anti-semitic bullying at school.,34003,1.2438356164383562,"905,116",40.95909,-74.074522,233.009,13.662,246.671,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
800,"swastikas and ""white power"" etched into bathroom stall at high school.",34003,1.2438356164383562,"905,116",40.95909,-74.074522,233.009,13.662,246.671,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1076,swastika graffiti discovered in school bathroom.,34025,1.2438356164383562,"630,380",40.287056,-74.152446,468.793,196.527,665.32,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
14,middle school student victim of anti-semitic verbal harassment.,35001,1.2438356164383562,"662,564",35.054002000000004,-106.66906499999999,"1,160.83",6.36,"1,167.19",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
718,"swastika and ""nazi"" carved into stall at high school bathroom.",36103,1.2438356164383562,"1,493,350",40.943554,-72.69221800000001,912.051,"1,461.08","2,373.13",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1067,swastika drawn on exterior wall of middle school.,36103,1.2438356164383562,"1,493,350",40.943554,-72.69221800000001,912.051,"1,461.08","2,373.13",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2504,catholic school vandalized with swastika.,39035,1.2438356164383562,"1,280,122",41.760391999999996,-81.72421700000001,457.191,788.396,"1,245.59",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1625,"""hitler did nothin' wrong"" painted outside classroom.",1097,1.1616438356164382,"412,992",30.684572999999997,-88.196568,"1,229.44",414.577,"1,644.01",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1332,casual references to the holocaust and anti-semitic jokes made in a middle school classroom.,6037,1.1616438356164382,"9,818,605",34.196397999999995,-118.26186200000001,"4,057.88",693.058,"4,750.94",0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1751,"swastikas and ""hail hitler"" graffiti found in high school bathroom.",6111,1.1616438356164382,"823,318",34.358742,-119.13314299999999,"1,843.13",365.249,"2,208.38",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1011,posters at a middle school vandalized with anti-semitic graffiti.,8005,1.1616438356164382,"572,003",39.644632,-104.331733,798.1,7.337,805.437,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
834,teacher at a high school received anti-semitic threats from students.,8123,1.1616438356164382,"252,825",40.555794,-104.383649,"3,987.24",29.558,"4,016.80",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
457,middle school student victim of ongoing anti-semitic bullying and harassment.,12071,1.1616438356164382,"618,754",26.552134000000002,-81.89225,784.513,427.948,"1,212.46",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1546,"student faced ongoing harassment and bullying at school, including anti-semitic and homophobic slurs.",12086,1.1616438356164382,"2,496,435",25.610494,-80.499045,"1,897.72",533.467,"2,431.18",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1163,"multiple incidents of anti-semitic behavior reported at middle school, including students chanting ""heil hitler"" on school bus.",13121,1.1616438356164382,"920,581",33.790034000000006,-84.468182,526.635,7.69,534.325,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
522,anti-semitic remarks made during a student government hearing.,17031,1.1616438356164382,"5,194,675",41.894294,-87.645455,945.326,689.533,"1,634.86",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
968,swastika drawn on football field at middle school.,25009,1.1616438356164382,"743,159",42.642711,-70.865107,492.563,335.911,828.474,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1768,small swastika found carved into table at school.,25017,1.1616438356164382,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1767,swastika was found on stool in classroom.,25017,1.1616438356164382,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2686,swastika vandalism discovered in high school.,25025,1.1616438356164382,"722,023",42.331959999999995,-71.020173,58.154,62.065,120.219,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2091,swastika drawn on jewish middle school student's locker.,27037,1.1616438356164382,"398,552",44.670893,-93.062481,562.168,24.699,586.867,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
37,numerous swastikas drawn on underside of stairwell in school.,34003,1.1616438356164382,"905,116",40.95909,-74.074522,233.009,13.662,246.671,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
801,swastika graffiti discovered in high school bathroom.,34003,1.1616438356164382,"905,116",40.95909,-74.074522,233.009,13.662,246.671,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1780,"student started singing ""cleanup cleanup like hitler cleaned up and killed all the jews"" after teacher announced it was time to clean up.",34023,1.1616438356164382,"809,858",40.439593,-74.407585,308.914,13.913,322.827,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1109,swastikas and male genitalia spray-painted on school playground equipment.,34025,1.1616438356164382,"630,380",40.287056,-74.152446,468.793,196.527,665.32,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
412,high school hallway vandalized with swastika.,36047,1.1616438356164382,"2,504,700",40.635133,-73.950777,70.816,26.102,96.918,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1817,fire started inside school bus belonging to a jewish school.,36047,1.1616438356164382,"2,504,700",40.635133,-73.950777,70.816,26.102,96.918,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1725,anti-semitic comments posted city school district's facebook page.,36119,1.1616438356164382,"949,113",41.152770000000004,-73.745912,430.497,69.498,499.995,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1641,nazi imagery superimposed over high school student's campaign picture.,42115,1.1616438356164382,"43,356",41.819665,-75.800969,823.435,8.708,832.143,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
152,swastika vandalism in elementary school.,48453,1.1616438356164382,"1,024,266",30.239513,-97.69126999999999,990.202,32.806,"1,023.01",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2094,jewish middle school student victim of anti-semitic harassment.,48491,1.1616438356164382,"422,679",30.64903,-97.605069,"1,118.30",16.136,"1,134.44",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
980,drawing of swastika discovered on desk in classroom.,55079,1.1616438356164382,"947,735",43.017655,-87.481575,241.402,948.137,"1,189.54",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2689,jewish student victim of anti-semitic bullying.,9009,1.0767123287671232,"862,477",41.349717,-72.900204,604.506,257.551,862.057,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1499,"parent at high school softball game yelled ""beat those jews"" at player on opposing team.",25009,1.0767123287671232,"743,159",42.642711,-70.865107,492.563,335.911,828.474,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1346,photo in middle school yearbook showed student performing the nazi salute.,25013,1.0767123287671232,"463,490",42.136198,-72.635648,617.14,17.111,634.251,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1899,"""hitler worshiper"" and ""the jew shanker"" written in middle school student's yearbook.",25023,1.0767123287671232,"494,919",41.987196000000004,-70.74194200000001,659.075,434.177,"1,093.25",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
