adl_id,description,code.type,code.nature,code.location,code.perpetrator,code.target
1501,student was target of anti-semitic bullying,harassment,general antisemitism,not specified,student,student
696,jewish girl at middle school victim of anti-semitic bullying by peers.,harassment,general antisemitism,in school,student,student
1202,class course website about insects displayed anti-semitic cartoons comparing jews to cockroaches.,cyberbullying,general antisemitism,social media,not specified,not specified
1178,"middle school students told another student, ""all jews should have died"" and ""hitler was right.""",harassment,nazi,in school,student,student
1423,students made offensive holocaust jokes and promoted anti-semitic conspiracy theories.,harassment,nazi,not specified,student,not specified
1162,middle school student victim of ongoing anti-semitic harassment.,harassment,general antisemitism,not specified,not specified,student
79,swastika and racist graffiti found at middle school.,vandalism,nazi,in school,not specified,not specified
924,"middle school students made anti-semitic remarks, blamed jews and israel for 9/11 terrorist attacks.",harassment,"general antisemitism, israel, conspiracy",not specified,student,not specified
1507,boy was victim of anti-semitic bullying in school.,harassment,general antisemitism,in school,student,student
1756,"""burn the jews"" written in school bathroom.",vandalism,nazi,in school,not specified,not specified
1762,swastika and message promoting anti-semitism found in girl's bathroom of high school.,vandalism,"nazi, general antisemitism",in school,not specified,not specified
468,student spectators at high school basketball game yelled anti-semitic taunts at opposing team's fans.,harassment,general antisemitism,school event,crowd,school
1272,"jewish student told to ""burn in the ovens with the other jews.""",harassment,nazi,not specified,student,student
976,swastika graffiti discovered in high school bathroom.,vandalism,nazi,in school,not specified,not specified
1805,swastika etched into front driver-side window of car parked in front of high school.,vandalism,nazi,outside school,not specified,not specified
2037,"students reported hearing the word ""jew"" used pejoratively.",harassment,general antisemitism,not specified,not specified,not specified
2386,"jewish students repeatedly targeted with anti-semitic comments, slurs, phone calls and the nazi salute. swastika drawn in front of elementary school.","harassment, performance, vandalism","nazi, general antisemitism","in school, outside school",not specified,student
1085,"teacher yelled ""heil, hitler"" at jewish student.",harassment,nazi,in school,teacher,student
1223,"jewish high school student told by his peers ""you should have burned like all the rest of the jews.""",harassment,nazi,not specified,student,student
1795,swastika and other graffiti found on school wall.,vandalism,nazi,in school,not specified,not specified
1659,high school students made anti-semitic remarks and threatened violence in online group chat during school elections.,harassment,general antisemitism,social media,student,not specified
92,jewish student at public high school was victim of anti-semitic harassment and bullying.,harassment,general antisemitism,in school,student,student
2644,high school student experienced ongoing anti-semitic harassment on social media.,harassment,general antisemitism,social media,not specified,student
1149,"""free palestine, free gaza"" keyed into jewish student's car at high school.",vandalism,israel,outside school,not specified,student
319,jewish students at a middle school experienced anti-semitic harassment and bullying.,harassment,general antisemitism,in school,student,student
680,jewish student threatened and taunted by his peers and teachers for being jewish.,harassment,general antisemitism,in school,"teacher, student",student
266,"middle school student heard multiple anti-semitic ""jokes"" during lunch.",harassment,general antisemitism,in school,not specified,not specified
1879,"public school student called a ""jew"" in a derogatory fashion.",harassment,general antisemitism,not specified,not specified,student
439,high school students posted anti-semitic content.,harassment,general antisemitism,social media,student,not specified
1497,swastika carved into school bleachers.,vandalism,nazi,in school,not specified,not specified
1765,swastika graffiti discovered in high school bathroom.,vandalism,nazi,in school,not specified,not specified
1764,swastika found drawn in dust of stairwell at middle school.,vandalism,nazi,in school,not specified,not specified
1774,"middle school student called teacher a ""kike.""",harassment,general antisemitism,in school,student,teacher
2687,jewish student experienced anti-semitic harassment at school.,harassment,general antisemitism,in school,not specified,student
2337,white supremacist left anti-semitic comments on social media in wake of post referencing hateful flyers found on school campus.,"harassment, literature dump",general antisemitism,"social media, in school",outsider,not specified
1450,jewish students faced anti-semitic harassment in school.,harassment,general antisemitism,in school,not specified,student
225,high school student faced ongoing anti-semitic bullying at school.,harassment,general antisemitism,in school,student,student
800,"swastikas and ""white power"" etched into bathroom stall at high school.",vandalism,nazi,in school,not specified,not specified
1076,swastika graffiti discovered in school bathroom.,vandalism,nazi,in school,not specified,not specified
14,middle school student victim of anti-semitic verbal harassment.,harassment,general antisemitism,not specified,not specified,student
718,"swastika and ""nazi"" carved into stall at high school bathroom.",vandalism,nazi,in school,not specified,not specified
1067,swastika drawn on exterior wall of middle school.,vandalism,nazi,outside school,not specified,not specified
2504,catholic school vandalized with swastika.,vandalism,nazi,in school,not specified,not specified
1625,"""hitler did nothin' wrong"" painted outside classroom.",vandalism,nazi,in school,not specified,not specified
1332,casual references to the holocaust and anti-semitic jokes made in a middle school classroom.,harassment,"nazi, general antisemitism",in school,not specified,not specified
1751,"swastikas and ""hail hitler"" graffiti found in high school bathroom.",vandalism,nazi,in school,not specified,not specified
1011,posters at a middle school vandalized with anti-semitic graffiti.,vandalism,general antisemitism,in school,not specified,not specified
834,teacher at a high school received anti-semitic threats from students.,harassment,general antisemitism,in school,student,teacher
457,middle school student victim of ongoing anti-semitic bullying and harassment.,harassment,general antisemitism,not specified,student,student
1546,"student faced ongoing harassment and bullying at school, including anti-semitic and homophobic slurs.",harassment,"general antisemitism, oppression connection",in school,student,student
1163,"multiple incidents of anti-semitic behavior reported at middle school, including students chanting ""heil hitler"" on school bus.",harassment,"nazi, general antisemitism","in school, outside school",student,not specified
522,anti-semitic remarks made during a student government hearing.,harassment,general antisemitism,in school,student,not specified
968,swastika drawn on football field at middle school.,vandalism,nazi,outside school,not specified,not specified
1768,small swastika found carved into table at school.,vandalism,nazi,in school,not specified,not specified
1767,swastika was found on stool in classroom.,vandalism,nazi,in school,not specified,not specified
2686,swastika vandalism discovered in high school.,vandalism,nazi,in school,not specified,not specified
2091,swastika drawn on jewish middle school student's locker.,vandalism,nazi,in school,not specified,student
37,numerous swastikas drawn on underside of stairwell in school.,vandalism,nazi,in school,not specified,not specified
801,swastika graffiti discovered in high school bathroom.,vandalism,nazi,in school,not specified,not specified
1780,"student started singing ""cleanup cleanup like hitler cleaned up and killed all the jews"" after teacher announced it was time to clean up.",harassment,nazi,in school,student,not specified
1109,swastikas and male genitalia spray-painted on school playground equipment.,vandalism,nazi,outside school,not specified,not specified
412,high school hallway vandalized with swastika.,vandalism,nazi,in school,not specified,not specified
1817,fire started inside school bus belonging to a jewish school.,vandalism,general antisemitism,outside school,not specified,not specified
1725,anti-semitic comments posted city school district's facebook page.,harassment,general antisemitism,social media,not specified,not specified
1641,nazi imagery superimposed over high school student's campaign picture.,vandalism,nazi,in school,not specified,student
152,swastika vandalism in elementary school.,vandalism,nazi,in school,not specified,not specified
2094,jewish middle school student victim of anti-semitic harassment.,harassment,general antisemitism,in school,not specified,student
980,drawing of swastika discovered on desk in classroom.,vandalism,nazi,in school,not specified,not specified
2689,jewish student victim of anti-semitic bullying.,harassment,general antisemitism,in school,student,student
1499,"parent at high school softball game yelled ""beat those jews"" at player on opposing team.",harassment,general antisemitism,school event,parent,student
1346,photo in middle school yearbook showed student performing the nazi salute.,performance,nazi,publication,student,not specified
1899,"""hitler worshiper"" and ""the jew shanker"" written in middle school student's yearbook.",harassment,nazi,publication,not specified,student
2634,two middle school students drew swastikas in other students' yearbooks.,vandalism,nazi,publication,student,student
1260,jewish students faced anti-semitic harassment in school.,harassment,general antisemitism,in school,not specified,student
1815,"student drew swastika and wrote: ""adolf hitler is my boy"" on another student's homework assignment.",vandalism,nazi,in school,student,student
355,jewish woman verbally harassed with anti-semitic remarks by another parent at school function.,harassment,general antisemitism,school event,parent,parent
2550,elementary school sign vandalized with swastika.,vandalism,nazi,outside school,not specified,not specified
1422,middle school student student received drawing of swastika on his graduation yearbook.,vandalism,nazi,publication,not specified,student
1832,students received an email that denied the events of the holocaust.,harassment,holocaust denial,social media,not specified,student
2202,"swastikas, ""kkk,"" and ""auschwitz"" written in middle school student's yearbook.",vandalism,nazi,publication,not specified,student
1262,swastika was drawn on jewish school.,vandalism,nazi,outside school,not specified,not specified
986,student was target of anti-semitic bullying.,harassment,general antisemitism,not specified,student,student
1333,elementary school teacher performed nazi salute to class during the united states pledge of allegiance.,performance,nazi,in school,teacher,not specified
2147,middle school teacher assigned an anti-semitic and pseudo-historical book that demonized israeli jews.,harassment,israel,in school,teacher,not specified
1265,swastikas discovered in stairwell at jewish day school.,vandalism,nazi,in school,not specified,not specified
1263,several swastikas spray-painted on jungle gym and building door at jewish day school.,vandalism,nazi,outside school,not specified,not specified
360,three jewish children were followed home from the school bus and had their yarmulkes forcibly removed.,harassment,general antisemitism,off-campus,not specified,student
1969,jewish student received text from his classmates that depicted him dying in a gas chamber.,cyberbullying,nazi,social media,student,student
1589,a jewish student was repeatedly targeted with anti-semitic comments from other students.,harassment,general antisemitism,not specified,student,student
113,anti-semitic flyers referencing local high schools found on public transportation.,literature dump,general antisemitism,off-campus,not specified,not specified
1854,"members of a high school cheerleading squad made references to burning jews and posted ""hail hitler"" on social media.",harassment,nazi,social media,student,not specified
1334,jewish middle school student harassed by classmate at school and via text and social media.,harassment,general antisemitism,"social media, in school",student,student
306,jewish student at public high school was target of anti-semitic harassment in a facebook group chat.,harassment,general antisemitism,social media,student,student
268,student found book covered with anti-semitic symbolism in history class.,vandalism,general antisemitism,in school,not specified,not specified
2339,"at least ten different synagogues and day schools received anti-semitic, anti-government mailings over a period of two months.",literature dump,general antisemitism,"in school, off campus",not specified,school
605,swastika graffiti discovered on pipe on side of school building.,vandalism,nazi,outside school,not specified,not specified
786,"student anonymously posted ""the jew killer"" as username in class game projected onto smartboard.",harassment,general antisemitism,in school,student,not specified
2400,school playground vandalized with swastika.,vandalism,nazi,outside school,not specified,not specified
1280,middle school student had a piece of paper with a swastika drawn on it placed in his backpack during the school day.,vandalism,nazi,in school,not specified,student
1137,high school student reportedly wore a nazi uniform to school for halloween.,performance,nazi,in school,student,not specified
2672,"""burn jews,"" the n-word, ""gay,"" ""bitch,"" trump,"" and a drawing of a penis were written on a elementary school wall.",vandalism,"nazi, oppression connection",outside school,not specified,not specified
460,"jewish high school senior called a ""kike"" by classmates and faced multiple incidents of anti-semitic ""jokes.""",harassment,general antisemitism,in school,student,student
2142,"student called peer a ""dirty jew"" and harassed him via social media, referencing hitler and ovens.",harassment,"nazi, general antisemitism",social media,student,student
1326,high school student victim of anti-semitic harassment and bullying by another student.,harassment,general antisemitism,not specified,student,student
269,student harassed other students and drew swastikas on notebooks.,"harassment, vandalism",nazi,not specified,student,student
2630,middle school student was the victim of anti-semitic bullying at school and targeted on social media.,harassment,general antisemitism,"in school, social media",student,student
456,"high school student experienced ongoing harassment by student who called him ""jew boy"" and ""jack the jew.""",harassment,general antisemitism,in school,student,student
46,middle school students harassed other students with anti-semitic jokes.,harassment,general antisemitism,not specified,student,student
111,elementary school student victim of anti-semitic bullying by peer.,harassment,general antisemitism,not specified,student,student
1772,swastika made of rubber pellets found on bench near a school athletic field.,vandalism,nazi,outside school,not specified,not specified
987,anti-semitic images and statements found on hacked google document of middle school student.,"vandalism, cyberbullying",general antisemitism,social media,not specified,student
2273,anti-semitic flyer sent to jewish school.,literature dump,general antisemitism,in school,not specified,school
2609,swastika etched into computer at a high school.,vandalism,nazi,in school,not specified,not specified
1183,jewish student heard shouting outside his house about jews controlling economy and other anti-semitic stereotypes.,harassment,"general antisemitism, money, conspiracy",off-campus,not specified,not specified
1075,jewish student victim of anti-semitic harassment by classmate.,harassment,general antisemitism,not specified,student,student
791,school restroom vandalized with swastikas.,vandalism,nazi,in school,not specified,not specified
1658,"swastika and the words ""kill jews"" drawn in middle school bathroom.",vandalism,nazi,in school,not specified,not specified
2214,jewish student overheard anti-semitic joke regarding the holocaust at school.,harassment,nazi,in school,not specified,not specified
1335,"jewish student targeted with anti-semitic harassment after substitute teacher fails to stop students doing the ""heil hitler"" and chanting ""kill the jews.""",harassment,nazi,in school,student,student
1881,"peers said ""heil hitler"" to jewish middle school girl.",harassment,nazi,in school,student,student
1217,boys performed nazi salute to jewish student during a soccer game.,performance,nazi,school event,student,student
749,"a school was vandalized with anti-semitic graffiti that included swastikas and the message ""we are hitler youth.""",vandalism,nazi,in school,not specified,not specified
651,jewish high school student victim of anti-semitic harassment at school.,harassment,general antisemitism,in school,not specified,student
2367,swastika vandalism at a high school targeted jewish students.,vandalism,nazi,in school,not specified,student
1566,"jewish student heard individuals in a car chanting ""white power"" as they drove past her.",harassment,"general antisemitism, oppression connection",off-campus,not specified,not specified
949,swastika vandalism discovered in a bathroom at a high school.,vandalism,nazi,in school,not specified,not specified
1502,middle school student made anti-semitic remarks and gave a jewish student a piece of paper with a swastika drawing on it.,harassment,"general antisemitism, nazi",in school,student,student
118,swastika drawn in school bathroom.,vandalism,nazi,in school,not specified,not specified
618,jewish elementary school student told by another student that jewish people are an inferior species.,harassment,general antisemitism,in school,student,student
809,swastika graffitied on school building.,vandalism,nazi,outside school,not specified,not specified
1770,two incidents of swastikas carved into benches in high school locker room.,vandalism,nazi,in school,not specified,not specified
1693,"jewish high school student told to ""go back to the concentration camp"" by football teammate.",harassment,nazi,in school,student,student
2274,"swastikas found on middle school students' papers, school bulletin board, and paper covering a bookshelf.",vandalism,nazi,in school,not specified,student
2380,"high school student tried to give jewish student a piece of paper with a swastika and ""burn the jews.""",harassment,nazi,in school,student,student
255,student made anti-semitic comments to jewish student.,harassment,general antisemitism,in school,student,student
254,non-jewish student verbally threatened and harassed jewish student.,harassment,general antisemitism,not specified,student,student
256,etching of swastika discovered on school property.,vandalism,nazi,outside school,not specified,school
2535,"jewish student told by another student, ""all jews should go back to auschwitz.""",harassment,nazi,not specified,student,student
760,anti-semitic art featured student exhibition.,not specified,general antisemitism,school event,not specified,not specified
1604,jewish high school student discovered swastikas drawn on his notebook by other students.,vandalism,nazi,not specified,student,student
1618,"high school students chanted ""jews and hispanics go home!"" in aftermath of 2016 presidential election.",harassment,"oppresion connection, general antisemitism",not specified,student,not specified
95,a high school student was tagged in an instagram post that included pictures of hitler and anti-semitic comments.,cyberbullying,"nazi, general antisemitism",social media,not specified,student
1843,swastika etched into desk at middle school.,vandalism,nazi,in school,not specified,not specified
138,school bench vandalized with swastikas and other vulgar drawings.,vandalism,nazi,in school,not specified,not specified
516,"middle school student victim of anti-semitic harassment, called a ""dirty jew.""",harassment,general antisemitism,not specified,not specified,student
517,"high school student victim of anti-semitic harassment by classmate who drew swastika and the letter ""n"" on victim's body during class.",harassment,"nazi, general antisemitism",in school,student,student
1329,school officials found swastika traced in wood chips of school playground.,vandalism,nazi,outside school,not specified,not specified
2313,swastika graffiti discovered in middle school bathroom.,vandalism,nazi,in school,not specified,not specified
18,anti-semitic bullying at school.,harassment,general antisemitism,in school,student,student
1058,school's faculty restroom vandalized with swastika.,vandalism,nazi,in school,not specified,not specified
1972,school's restroom vandalized with swastika.,vandalism,nazi,in school,not specified,not specified
1484,school's mural vandalized with swastika.,vandalism,nazi,in school,not specified,not specified
2022,high school desk vandalized with swastikas and anti-semitic comments.,vandalism,"nazi, general antisemitism",in school,not specified,not specified
2361,school's basketball court vandalized with swastika.,vandalism,nazi,in school,not specified,not specified
2362,school grounds vandalized with two swastikas.,vandalism,nazi,outside school,not specified,not specified
478,high school students performed nazi salutes and vandalized school property with swastikas.,"vandalism, performance",nazi,in school,student,not specified
1089,student came to his spanish class in nazi uniform and taught class the nazi salute.,performance,nazi,in school,student,not specified
150,high school student victim of anti-semitic harassment at school.,harassment,general antisemitism,in school,not specified,student
2116,teachers made jewish students wear yellow stars in lesson about immigration and discrimination.,harassment,nazi,in school,teacher,student
422,"high school football players and their families received a flood of nazi, pornographic, and anti-semitic hate messages.",cyberbullying,"nazi, general antisemtism, oppression connection",social media,not specified,student
1304,jewish student victim of anti-semitic harassment.,harassment,general antisemitism,not specified,not specified,student
2387,"high school student told peers: ""we have to get rid of the jews once and for all.""",harassment,general antisemitism,not specified,student,student
1591,middle school students expressed support for hitler during a mock election.,harassment,nazi,in school,student,not specified
1592,a high school student presented a jewish student with a drawing of hitler.,harassment,nazi,in school,student,student
1596,jewish high school student's locker defaced with swastika graffiti.,vandalism,nazi,in school,not specified,student
940,yearbook quote referencing swastikas and nazi symbolism was submitted using the name of a jewish student.,harassment,nazi,publication,not specified,student
1804,high school teacher promoted holocaust denial and anti-semitic conspiracy theories.,harassment,"holocaust denial, conspiracy",in school,teacher,not specified
2539,high school student harassed jewish students.,harassment,general antisemitism,not specified,student,student
47,"middle school student told by another student, ""go to the gas chamber, dirty jew.""",harassment,nazi,not specified,student,student
2213,"jewish high school student experienced repeated anti-semitic harassment from classmates, including the nazi salute.",harassment,"general antisemitism, nazi",in school,student,student
1138,"jewish high school student who experienced multiple incidents of anti-semitic harassment was told that her ""breath smells like burning jews.""",harassment,"general antisemitism, nazi",not specified,not specified,student
817,"a non-jewish student yelled at a jewish student while playing tetherball: ""you're an asshole you jewish cunt.""",harassment,general antisemitism,outside school,student,student
2151,"jewish students overheard anti-semitic comments made by their peers, including a meme that read: ""feels good to kill jews.""","harassment, cyberbullying",general antisemitism,not specified,student,not specified
308,"high school student victim of anti-semitic harassment and bullying told ""go back to the gas chamber.""",harassment,nazi,not specified,student,student
730,jewish boy physically assaulted by peers at school for being jewish.,harassment,general antisemitism,in school,student,student
2415,high school students formed a swastika with their bodies.,performance,nazi,not specified,student,not specified
1876,swastika drawn in pencil found inside school bathroom.,vandalism,nazi,in school,not specified,not specified
48,school vandalized with swastika.,vandalism,nazi,in school,not specified,not specified
1166,"middle school student called a ""filthy jew"" after picking up a coin from the gym floor.",harassment,"general antisemitism, money",in school,not specified,student
1168,"jewish middle school student experienced ongoing bullying in the form of anti-semitic ""jokes"" and insults.""",harassment,general antisemitism,in school,student,student
53,anti-semitic jokes and incidents at middle school.,harassment,general antisemitism,in school,not specified,not specified
448,anti-semitic graffiti including swastikas drawings and hateful language discovered in high school bathroom.,vandalism,"nazi, general antisemtism",in school,not specified,not specified
925,"high school hockey player victim of anti-semitic ""jokes"" while being hazed.",harassment,general antisemitism,not specified,student,student
1689,anti-semitic graffiti found in middle school bathroom.,vandalism,general antisemitism,in school,not specified,not specified
1582,swastika graffiti discovered in middle school bathroom.,vandalism,nazi,in school,not specified,not specified
564,group of students created anti-semitic instagram account targeting another student.,harassment,general antisemitism,social media,student,student
518,middle school student victim of anti-semitic and racist verbal harassment.,harassment,"general antisemitism, oppression connection",not specified,not specified,student
977,teacher discovered desk in their classroom vandalized with swastika graffiti and star of david.,vandalism,"general antisemitism, nazi",in school,not specified,not specified
1077,swastika graffiti discovered in bathroom at school.,vandalism,nazi,in school,not specified,not specified
1448,"individual received anti-semitic letter saying ""go back to your jew school.""",harassment,general antisemitism,not specified,not specified,student
1437,"elementary school student told by older classmate that ""all jews lie and are bad"" and that hitler was a good leader.",harassment,"general antisemitism, nazi",in school,student,student
1521,jewish middle school student victim of anti-semitic harassment including nazi salutes and swastika drawings circulated among peers.,"harassment, performance",nazi,in school,student,student
1921,"student shouted ""heil hitler"" to his jewish teacher on two separate occasions.",harassment,nazi,in school,student,teacher
2636,jewish students repeatedly harassed by other students on their school bus.,harassment,general antisemitism,outside school,student,student
1091,a jewish high school student was given unwanted nazi memorabilia by a classmate.,harassment,nazi,not specified,student,student
2757,"jewish high school student harassed by classmates. she received text messages with pictures of nazis and the word ""kike,"" and verbal comments including anti-israel messages and that hitler should have ""finished the job.""",harassment,"general antisemitism, nazi, israel",not specified,student,student
2769,jewish student harassed by classmate with anti-semitic language.,harassment,general antisemitism,not specified,student,student
2772,anti-semitic comments overheard in classroom.,harassment,general antisemitism,in school,not specified,not specified
2759,bomb threat - wornick jewish day school (jcc peninsula),bomb threat,general antisemitism,in school,not specified,school
3021,"students named their team ""burn the jews"" in an online classroom game.",harassment,nazi,"in school, social media",student,not specified
3023,anti-semitic rhetoric heard in classroom.,harassment,general antisemitism,in school,not specified,not specified
3020,high school student harassed with anti-semitic comments.,harassment,general antisemitism,not specified,not specified,student
3073,swastika trampled into snow at school sports field.,vandalism,nazi,outside school,not specified,not specified
3188,"jewish student subjected to holocaust ""jokes"" and comments about hitler by classmates.",harassment,nazi,in school,student,student
3405,swastika found in restroom at high school.,vandalism,nazi,in school,not specified,not specified
3433,"pro-trump jewish student was called a ""nazi"" by classmates.",harassment,nazi,in school,student,student
3427,swastika discovered in boys bathroom in middle school.,vandalism,nazi,in school,not specified,not specified
3601,swastika graffiti in multiple places at high school.,vandalism,nazi,in school,not specified,not specified
4056,driver yelled anti-semitic and threatening remarks at crossing guard and child in front of jewish elementary school.,harassment,general antisemitism,outside school,outsider,"school personnel, student"
4592,"students taking senior picture were asked by photographer to do something fun for the photo. about 35 of them did a heil hitler salute and yelled out ""heil hitler"" and ""heil trump.""",performance,nazi,in school,student,not specified
2717,bomb threat - n.e. miles jewish day school,bomb threat,general antisemitism,in school,not specified,school
2725,elementary school building defaced with swastikas.,vandalism,nazi,in school,not specified,not specified
2729,students made jokes about concentration camps and performed the nazi salute.,"harassment, performance",nazi,in school,student,not specified
2728,four incidents reported of children drawing swastikas at local school.,vandalism,nazi,in school,student,not specified
2726,"jewish student harassed by peers with holocaust ""jokes.""",harassment,nazi,not specified,student,student
2813,westboro baptist church hate group protested outside jewish high school.,harassment,general antisemitism,outside school,outsider,school
2816,child drew swastika and showed it to a jewish classmate.,harassment,nazi,in school,student,student
2775,"jewish middle school student harassed by classmates with references to ""burning jews.""",harassment,nazi,not specified,student,student
3025,jewish student received anti-semitic valentines day card.,harassment,general antisemitism,not specified,not specified,student
3024,"jewish middle school student received anti-semitic messages on snapchat, told holocaust ""jokes,"" had pennies thrown at her by classmates.",harassment,"nazi, general antisemitism, money","in school, social media",student,student
3081,bomb threat - hebrew high school of new england,bomb threat,general antisemitism,in school,not specified,school
3080,student carved two swastikas onto school desk.,vandalism,nazi,in school,student,not specified
3199,bomb threat - posnack jewish day school,bomb threat,general antisemitism,in school,not specified,school
3198,jewish student bullied with anti-semitic taunts by classmates.,harassment,general antisemitism,not specified,student,student
3195,anti-semitic valentines cards circulated in middle schools.,harassment,general antisemitism,in school,not specified,not specified
3190,"jewish student harassed with anti-semitic messages, including references to jews being cheap, swastikas, and message that the student's grandparents should have been ""roasted.""",harassment,"nazi, general antisemitism, money",social media,not specified,student
3193,anti-semitic note passed to jewish student.,harassment,general antisemitism,in school,not specified,student
3280,jewish students harassed with anti-semitic jokes.,harassment,general antisemitism,not specified,not specified,student
3281,several students distributed valentine's day notes with anti-semitic content.,harassment,general antisemitism,in school,student,student
3437,swastika drawn in turf at local schoolyard.,vandalism,nazi,outside school,not specified,not specified
3604,bomb threat - aleph-bet jewish day school,bomb threat,general antisemitism,in school,not specified,school
3603,bomb threat - charles e. smith jewish day school,bomb threat,general antisemitism,in school,not specified,school
3644,swastikas spray painted in bathrooms at derby middle school,vandalism,nazi,in school,not specified,not specified
3648,bomb threat - hebrew day school of ann arbor,bomb threat,general antisemitism,in school,not specified,school
3694,bomb threat - saul mirowitz jewish community school,bomb threat,general antisemitism,in school,not specified,school
3717,bomb threat - lerner day school,bomb threat,general antisemitism,in school,not specified,school
4023,swastika painted on front door of cheyenne high school,vandalism,nazi,in school,not specified,not specified
4484,bomb threat - perelman jewish day school,bomb threat,general antisemitism,in school,not specified,school
4647,jewish students harassed with anti-semitic language by their classmates.,harassment,general antisemitism,not specified,student,student
4654,bomb threat - gesher jewish day school,bomb threat,general antisemitism,in school,not specified,school
2720,swastika anti-semitic incident: vandalism at school.,vandalism,nazi,in school,not specified,not specified
2736,"racist, anti-semitic graffiti at high school.",vandalism,"general antisemitism, oppression connection",in school,not specified,not specified
2732,jewish student being harassed for wearing star of david necklace.,harassment,general antisemitism,not specified,not specified,student
2840,nine high school students painted swastikas and harassed jewish teacher.,"harassment, vandalism","general antisemitism, nazi",in school,student,teacher
2851,anti-semitic anti-semitic incident: harassment of middle school student by classmate.,harassment,general antisemitism,not specified,student,student
2824,teacher used racist and anti-semitic language in class.,harassment,"general antisemitism, oppression connection",in school,teacher,not specified
2856,"white supremacist flyers at high school that read: ""no jews, no problems.""",literature dump,general antisemitism,in school,not specified,not specified
2823,"anti-semitic graffiti including a swastika and the words ""toasted jew"" found in high school.",vandalism,nazi,in school,not specified,not specified
2839,numerous cases of anti-semitic anti-semitic incident: harassment of jewish students in middle school.,harassment,general antisemitism,in school,not specified,student
2852,middle school student received anti-semitic note.,harassment,general antisemitism,not specified,not specified,student
2822,"extensive bullying of jewish student, including anti-semitic language.",harassment,general antisemitism,not specified,student,student
3029,parents of jewish middle school students discovered that non-jewish students were sending anti-semitic jokes at their children.,harassment,general antisemitism,not specified,student,student
3030,"numerous instances of middle school students chanting ""heil hitler"" and ""build a wall,"" and engaging in sexist behavior.",harassment,"nazi, oppression connection",not specified,student,not specified
3088,swastika graffiti at high school.,vandalism,nazi,in school,not specified,not specified
3082,"report of frequent anti-semitic comments and ""jokes"" at a middle school.",harassment,general antisemitism,in school,not specified,not specified
3128,swastika graffiti in high school.,vandalism,nazi,in school,not specified,not specified
3205,bomb threat - posnack jewish day school,bomb threat,general antisemitism,in school,not specified,school
3216,anti-semitic anti-semitic incident: harassment of jewish students in high school.,harassment,general antisemitism,in school,not specified,student
3290,"middle school and high school students subjected to anti-semitic and holocaust-related ""jokes.""",harassment,"general antisemitism, nazi",not specified,not specified,student
3288,"jewish middle school students harassed with holocaust-related ""jokes.""",harassment,nazi,not specified,not specified,student
3289,"swastikas, a drawing of a gun, and the words ""you the jews"" found in restroom at middle school.",vandalism,"general antisemitism, nazi",in school,not specified,not specified
3286,anti-semitic anti-semitic incident: harassment of jewish high school student.,harassment,general antisemitism,not specified,not specified,student
3348,two jewish elementary school students were bullied with anti-semitic taunts by classmates.,harassment,general antisemitism,not specified,student,student
3351,swastikas trampled into snow at elementary school.,vandalism,nazi,outside school,not specified,not specified
3346,bomb threat - chicago jewish day school,bomb threat,general antisemitism,in school,not specified,school
3456,bomb threat - metrowest jewish day school,bomb threat,general antisemitism,in school,not specified,school
3457,bomb threat - solomon schechter day school,bomb threat,general antisemitism,in school,not specified,school
